component,family,semantic_dimension,round2_counterpart,spearman,coverage,finding,evidence
scope_return_1d,P,PRICE,,,NO_DIRECT_COUNTERPART,NO_DIRECT_COUNTERPART,
advance_ratio,P,BREADTH,,,NO_DIRECT_COUNTERPART,NO_DIRECT_COUNTERPART,
trend_price_alignment_ratio,P,MIXED,,,NO_DIRECT_COUNTERPART,NO_DIRECT_COUNTERPART,
new_high_ratio,P,PRICE,t_swing_neg1_1_rate,0.7361,COVERED,COVERED,spearman_vs_t_swing_neg1_1_rate=0.7361 | multi_dim=t_swing_neg1_1_rate(TRANSITION):0.7361
price_position_median,P,PRICE,regime_up_cnt,0.8777,MIXED,MIXED,spearman_vs_regime_up_cnt=0.8777 | multi_dim=regime_up_ratio(STATE):0.8767;regime_down_ratio(STATE):-0.7723;swing_up_ratio(STATE):0.8322
uptrend_member_ratio,Q,STATE,regime_up_ratio,1.0000,REDUNDANT_CANDIDATE,REDUNDANT_CANDIDATE,spearman_vs_regime_up_ratio=1.0000 | multi_dim=top5_amount_contribution(CONCENTRATION):-0.7756 | same_fam_rho≥0.7=main_structure_up_ratio:0.9422;structure_net_event_rate:0.8375;structure_breakdown_diffusion:-0.8331
main_structure_up_ratio,Q,STATE,swing_up_ratio,1.0000,REDUNDANT_CANDIDATE,REDUNDANT_CANDIDATE,spearman_vs_swing_up_ratio=1.0000 | multi_dim=top5_amount_contribution(CONCENTRATION):-0.8432 | same_fam_rho≥0.7=uptrend_member_ratio:0.9422;structure_net_event_rate:0.8062;structure_breakdown_diffusion:-0.7719
short_structure_up_ratio,Q,STATE,internal_up_ratio,1.0000,REDUNDANT_CANDIDATE,REDUNDANT_CANDIDATE,spearman_vs_internal_up_ratio=1.0000 | same_fam_rho≥0.7=structure_net_event_rate:0.8377;structure_breakdown_diffusion:-0.8531
trend_structure_momentum_alignment_ratio,Q,DIFFUSION,divergence_ratio,-0.9938,COVERED,COVERED,spearman_vs_divergence_ratio=-0.9938
structure_net_event_rate,Q,TRANSITION,t_swing_neg1_1_rate,0.6396,MIXED,MIXED,spearman_vs_t_swing_neg1_1_rate=0.6396 | multi_dim=regime_up_ratio(STATE):0.8375;swing_up_ratio(STATE):0.8062;swing_down_ratio(STATE):-0.7933 | same_fam_rho≥0.7=uptrend_member_ratio:0.8375;main_structure_up_ratio:0.8062;short_structure_up_ratio:0.8377;structure_breakdown_diffusion:-0.9564
