trade_date,scope_type,scope_key,scope_name,status,coverage,previous_direction,current_direction,previous_rankable_count,current_rankable_count,previous_leader_count,current_leader_count,retained_count,entrant_count,exit_count,previous_retention,jaccard_stability,migration,previous_leader_ids,current_leader_ids,entrant_ids,exit_ids,exit_ids.len,entrant_ids.len
2026-07-29,concept,006fed9d-3f14-4b24-8415-e66a1bb2c75d,东数西算(算力),ready,0.5,-1,1,402,402,13,7,1,6,12,0.07692307692307693,0.05263157894736842,0.9473684210526316,"['f7220fe9-ce85-454a-accf-345834102e77', '7e332650-33cb-4848-ad9f-316e21af12ad', 'd3898c18-1059-4efd-b04c-e0f5366a3ad7', '82da64e9-1eb4-4985-a9fb-33fa6e1888eb', '3b241a5f-a308-40b6-aa1d-2f4bb63f9950', '076a0ae3-b53e-4c0c-958e-9a1a6fa0705f', 'd4d45d58-a9c0-4bc3-b7f7-7b628eea9e10', 'db03ed7e-ddc7-4de8-a0b6-bde03c1aa3f2', 'b50996fd-48ab-473c-82b2-ba9f1d043201', '48059a19-1520-4e6e-8990-1ba4f84fb1e8', '298630c5-9e6d-4179-a8a8-5deee9e9585e', '33ff5303-5f2f-45c1-b6c6-7809ff402723', 'b8c802c3-709c-499d-94a6-990066bc9447']","['14c73d44-d1e9-471a-a365-cd1b5860a077', '8a341ff1-a66b-4b08-b86f-e1981089bbfb', 'f7220fe9-ce85-454a-accf-345834102e77', 'c5ecb53c-97e9-44a5-a409-237b88483470', 'fe01ffac-df34-4de7-8427-1b15e1464745', '1e297428-1098-4c35-9bd0-c25a34b7a8b4', 'f6022552-8c43-434f-b005-c4a6f81d346b']","['14c73d44-d1e9-471a-a365-cd1b5860a077', '1e297428-1098-4c35-9bd0-c25a34b7a8b4', '8a341ff1-a66b-4b08-b86f-e1981089bbfb', 'c5ecb53c-97e9-44a5-a409-237b88483470', 'f6022552-8c43-434f-b005-c4a6f81d346b', 'fe01ffac-df34-4de7-8427-1b15e1464745']","['076a0ae3-b53e-4c0c-958e-9a1a6fa0705f', '298630c5-9e6d-4179-a8a8-5deee9e9585e', '33ff5303-5f2f-45c1-b6c6-7809ff402723', '3b241a5f-a308-40b6-aa1d-2f4bb63f9950', '48059a19-1520-4e6e-8990-1ba4f84fb1e8', '7e332650-33cb-4848-ad9f-316e21af12ad', '82da64e9-1eb4-4985-a9fb-33fa6e1888eb', 'b50996fd-48ab-473c-82b2-ba9f1d043201', 'b8c802c3-709c-499d-94a6-990066bc9447', 'd3898c18-1059-4efd-b04c-e0f5366a3ad7', 'd4d45d58-a9c0-4bc3-b7f7-7b628eea9e10', 'db03ed7e-ddc7-4de8-a0b6-bde03c1aa3f2']",,
2026-07-29,concept,00a5c39f-43ee-4c36-9a87-f588b74fcd62,华为昇腾,ready,0.5,-1,1,103,103,5,6,1,5,4,0.2,0.1,0.9,"['e67e04af-e898-473b-8d14-c3f352694ce3', '33c4d68e-bca0-4ba3-ab72-a2e558cbe59d', '0a577f4d-6409-40c1-b2d0-b4b558b8973a', '8744020d-cbe0-4ef7-a233-413312640253', '4ec366cd-204b-4e9a-b7fd-837327993b70']","['fa5f43a7-96d1-4a3f-bbbb-3ee9cac084f2', '9a451d08-f7fc-44c0-9b97-72691c4181a8', '33c4d68e-bca0-4ba3-ab72-a2e558cbe59d', '507f457c-fe01-4a00-9cd7-462bcdc9ff7f', 'f6aa9ede-9f7e-44fe-b16a-354bda999cab', '7c8cb295-7db8-4284-b2bd-74457e8035fd']","['507f457c-fe01-4a00-9cd7-462bcdc9ff7f', '7c8cb295-7db8-4284-b2bd-74457e8035fd', '9a451d08-f7fc-44c0-9b97-72691c4181a8', 'f6aa9ede-9f7e-44fe-b16a-354bda999cab', 'fa5f43a7-96d1-4a3f-bbbb-3ee9cac084f2']","['0a577f4d-6409-40c1-b2d0-b4b558b8973a', '4ec366cd-204b-4e9a-b7fd-837327993b70', '8744020d-cbe0-4ef7-a233-413312640253', 'e67e04af-e898-473b-8d14-c3f352694ce3']",,
2026-07-29,concept,01340d0e-acee-4fa1-a08e-1b91f1497c8e,C2M概念,ready,0.5,1,1,39,39,1,3,1,2,0,1.0,0.3333333333333333,0.6666666666666667,['1a06ab26-d8b3-46ca-bdce-d318e32138cf'],"['1a06ab26-d8b3-46ca-bdce-d318e32138cf', 'dde79668-a117-402e-99d8-0871a5881da7', 'c9e5f768-b7b1-49f9-9335-6af3ae173079']","['c9e5f768-b7b1-49f9-9335-6af3ae173079', 'dde79668-a117-402e-99d8-0871a5881da7']",,0,
2026-07-29,concept,01af0094-6502-4b24-8264-bfbe926c498b,抽水蓄能,ready,0.5,-1,1,77,77,5,5,1,4,4,0.2,0.1111111111111111,0.8888888888888888,"['e4c6c184-a069-4f38-9bfb-d4d67bad01a9', '39aaee30-9678-4e4d-b73a-f9e60b44d034', '4645633f-aed9-409f-81f7-ecf6f77bf19e', '2de6630f-ca04-49ca-ac66-cfda89aaee30', '7e90cd5e-71b9-4a26-9c96-767fb8b9dfdc']","['39aaee30-9678-4e4d-b73a-f9e60b44d034', 'f6022552-8c43-434f-b005-c4a6f81d346b', 'f16d6141-71db-4581-9e4d-970b807f735c', '62f3dcb1-19b6-4f93-8bc4-009cb83f3c5a', '1bd2507e-4f48-4b6f-928b-f0c70d6b11f8']","['1bd2507e-4f48-4b6f-928b-f0c70d6b11f8', '62f3dcb1-19b6-4f93-8bc4-009cb83f3c5a', 'f16d6141-71db-4581-9e4d-970b807f735c', 'f6022552-8c43-434f-b005-c4a6f81d346b']","['2de6630f-ca04-49ca-ac66-cfda89aaee30', '4645633f-aed9-409f-81f7-ecf6f77bf19e', '7e90cd5e-71b9-4a26-9c96-767fb8b9dfdc', 'e4c6c184-a069-4f38-9bfb-d4d67bad01a9']",,
2026-07-29,concept,01e69507-b6de-4e47-946d-3fb02d1826b8,中俄贸易概念,ready,0.5,-1,1,168,168,2,4,2,2,0,1.0,0.5,0.5,"['636ffb29-7f02-4d36-8bf8-70204b2d03ee', 'eed3318c-64d4-45e3-9459-3381a081a092']","['8cb4216b-8746-459f-adc2-eff26feaf55f', 'eed3318c-64d4-45e3-9459-3381a081a092', '636ffb29-7f02-4d36-8bf8-70204b2d03ee', '8a62bfb7-b4f0-4c08-b4cc-aae06e2d75b0']","['8a62bfb7-b4f0-4c08-b4cc-aae06e2d75b0', '8cb4216b-8746-459f-adc2-eff26feaf55f']",,0,
2026-07-29,concept,01fdfa49-2c49-4ac3-b4ef-0c4a3b7eb544,超导概念,ready,0.5,-1,1,31,31,2,4,0,4,2,0.0,0.0,1.0,"['db03ed7e-ddc7-4de8-a0b6-bde03c1aa3f2', '33ff5303-5f2f-45c1-b6c6-7809ff402723']","['88547931-f897-4ab9-9a57-ba8632650468', 'ed22359d-a87b-43ca-92b7-3508d2306b75', 'f566f34b-4c27-4e26-b7f6-301cd92f24a2', '8a01cd2b-1db7-46cf-9dd2-9ba0fd4fae41']","['88547931-f897-4ab9-9a57-ba8632650468', '8a01cd2b-1db7-46cf-9dd2-9ba0fd4fae41', 'ed22359d-a87b-43ca-92b7-3508d2306b75', 'f566f34b-4c27-4e26-b7f6-301cd92f24a2']","['33ff5303-5f2f-45c1-b6c6-7809ff402723', 'db03ed7e-ddc7-4de8-a0b6-bde03c1aa3f2']",,
2026-07-29,concept,02895fb8-162e-4bc0-bb3b-47932c474303,期货概念,ready,0.5,-1,1,70,70,3,6,2,4,1,0.6666666666666666,0.2857142857142857,0.7142857142857143,"['409727f2-e211-4f57-bd99-87dae6b3ca6b', '9ca981e8-830c-4b19-9cef-9a73ee51e916', '7d7a0d46-585c-4354-a0b1-91dea0cda9ac']","['7d7a0d46-585c-4354-a0b1-91dea0cda9ac', '409727f2-e211-4f57-bd99-87dae6b3ca6b', 'dbbb034c-82a0-4e73-950b-595edaad348a', '21840e06-bfaa-454a-8e1e-abdfafe2bc6e', '45d1358f-f7fe-431d-a0f0-67c2fa388bc8', '41683a0a-ada7-4576-8c3c-62141620138c']","['21840e06-bfaa-454a-8e1e-abdfafe2bc6e', '41683a0a-ada7-4576-8c3c-62141620138c', '45d1358f-f7fe-431d-a0f0-67c2fa388bc8', 'dbbb034c-82a0-4e73-950b-595edaad348a']",['9ca981e8-830c-4b19-9cef-9a73ee51e916'],,
2026-07-29,concept,0294cb2f-3a85-48b2-836e-19720b80e211,生物疫苗,ready,0.5,-1,1,58,58,1,4,0,4,1,0.0,0.0,1.0,['d9a1e950-08ee-4e3e-9bfb-ff4854364813'],"['0d9a727c-e54d-45db-8e0f-65f7e5ba758f', '6807cd59-1ec7-4159-ab14-4d2d5892977e', '42fac732-5766-4144-b434-eae988267f38', '410c1ade-dbe5-4215-97e2-b2c2779a55df']","['0d9a727c-e54d-45db-8e0f-65f7e5ba758f', '410c1ade-dbe5-4215-97e2-b2c2779a55df', '42fac732-5766-4144-b434-eae988267f38', '6807cd59-1ec7-4159-ab14-4d2d5892977e']",['d9a1e950-08ee-4e3e-9bfb-ff4854364813'],,
2026-07-29,industry_l3,02ed6f74-9f04-48c7-a334-f0432f9d2475,家用电器-黑色家电-其他黑色家电,ready,0.5,-1,1,6,6,2,2,1,1,1,0.5,0.3333333333333333,0.6666666666666667,"['359af867-515d-4367-ac61-278083f55839', '895f10af-6644-4f04-8564-116f15a0e10d']","['895f10af-6644-4f04-8564-116f15a0e10d', '5864bc96-c5c4-4bab-8599-995bf53f9c83']",['5864bc96-c5c4-4bab-8599-995bf53f9c83'],['359af867-515d-4367-ac61-278083f55839'],,
2026-07-29,concept,030ec217-b811-4f02-9993-7d16d4a5de45,毫米波雷达,ready,0.5,-1,1,119,119,5,4,0,4,5,0.0,0.0,1.0,"['8f9037d9-cf45-4198-a7eb-a3a09f02320d', '58ab5927-c477-4373-becb-7d8e33dd69ab', 'e15f6f13-1207-4d63-9e16-514fe99aaa73', '043e24e3-60f2-4b80-bbfd-50c0d2e4fbd2', '8aa1697a-6b04-45a3-85a3-6febffbfaf08']","['800be7cd-3ff8-42f6-9b9a-68b3225e025e', 'c5ecb53c-97e9-44a5-a409-237b88483470', '47dfd2b6-4010-4e73-b702-5091846ebb64', '79f01102-54fa-4bdc-b2e1-ec1e7e0e3cad']","['47dfd2b6-4010-4e73-b702-5091846ebb64', '79f01102-54fa-4bdc-b2e1-ec1e7e0e3cad', '800be7cd-3ff8-42f6-9b9a-68b3225e025e', 'c5ecb53c-97e9-44a5-a409-237b88483470']","['043e24e3-60f2-4b80-bbfd-50c0d2e4fbd2', '58ab5927-c477-4373-becb-7d8e33dd69ab', '8aa1697a-6b04-45a3-85a3-6febffbfaf08', '8f9037d9-cf45-4198-a7eb-a3a09f02320d', 'e15f6f13-1207-4d63-9e16-514fe99aaa73']",,
